H,ndof,L2,H1
0.25,30,0.055842485310793395,0.3965629515789103
0.125,90,0.01678256053061989,0.15954599802640965
0.0625,306,0.004411658762752376,0.07165909860184924
0.03125,1122,0.001119434518790313,0.034643701833503494
0.015625,4290,0.000281527078675187,0.01716724628841715
